 time       EAIS       Ross   Amundsen    Weddell  Peninsula
    1    0.00080    0.00084    0.00066    0.00084    0.00075
    2    0.00153    0.00094    0.00117    0.00134    0.00096
    3    0.00181    0.00130    0.00133    0.00223    0.00169
    4    0.00223    0.00147    0.00107    0.00235    0.00213
    5    0.00215    0.00092    0.00139    0.00279    0.00196
    6    0.00276    0.00105    0.00114    0.00268    0.00124
    7    0.00231    0.00077    0.00128    0.00221    0.00146
    8    0.00210   -0.00012    0.00059    0.00258    0.00123
    9    0.00178   -0.00086   -0.00030    0.00188    0.00061
   10    0.00109   -0.00148   -0.00116    0.00134    0.00024
   11    0.00109   -0.00215   -0.00220    0.00124   -0.00043
   12    0.00046   -0.00291   -0.00292    0.00046   -0.00115
   13   -0.00017   -0.00374   -0.00370   -0.00033   -0.00153
   14   -0.00098   -0.00433   -0.00466   -0.00070   -0.00280
   15   -0.00174   -0.00557   -0.00531   -0.00133   -0.00376
   16   -0.00222   -0.00593   -0.00643   -0.00262   -0.00513
   17   -0.00370   -0.00683   -0.00777   -0.00341   -0.00613
   18   -0.00476   -0.00822   -0.00820   -0.00507   -0.00701
   19   -0.00586   -0.00886   -0.00964   -0.00571   -0.00857
   20   -0.00678   -0.01037   -0.01060   -0.00675   -0.00946
   21   -0.00805   -0.01190   -0.01242   -0.00819   -0.01047
   22   -0.00873   -0.01278   -0.01346   -0.00925   -0.01140
   23   -0.01020   -0.01449   -0.01449   -0.01056   -0.01263
   24   -0.01158   -0.01562   -0.01559   -0.01116   -0.01407
   25   -0.01257   -0.01688   -0.01696   -0.01277   -0.01511
   26   -0.01338   -0.01759   -0.01846   -0.01350   -0.01710
   27   -0.01379   -0.01842   -0.01984   -0.01391   -0.01854
   28   -0.01535   -0.02003   -0.02087   -0.01539   -0.01894
   29   -0.01656   -0.02147   -0.02266   -0.01619   -0.01957
   30   -0.01733   -0.02249   -0.02414   -0.01696   -0.02136
   31   -0.01902   -0.02371   -0.02508   -0.01804   -0.02268
   32   -0.01980   -0.02469   -0.02641   -0.01889   -0.02365
   33   -0.02107   -0.02578   -0.02813   -0.02010   -0.02476
   34   -0.02163   -0.02741   -0.02940   -0.02162   -0.02593
   35   -0.02272   -0.02828   -0.03028   -0.02331   -0.02778
   36   -0.02448   -0.02915   -0.03213   -0.02388   -0.02885
   37   -0.02618   -0.03002   -0.03380   -0.02539   -0.03073
   38   -0.02738   -0.03184   -0.03496   -0.02712   -0.03140
   39   -0.02901   -0.03240   -0.03622   -0.02769   -0.03316
   40   -0.03002   -0.03439   -0.03761   -0.02935   -0.03464
   41   -0.03158   -0.03524   -0.03884   -0.02998   -0.03579
   42   -0.03244   -0.03682   -0.04033   -0.03122   -0.03801
   43   -0.03442   -0.03809   -0.04206   -0.03312   -0.03937
   44   -0.03587   -0.03983   -0.04332   -0.03358   -0.04075
   45   -0.03755   -0.04129   -0.04476   -0.03444   -0.04231
   46   -0.03950   -0.04302   -0.04662   -0.03594   -0.04343
   47   -0.03994   -0.04383   -0.04779   -0.03706   -0.04480
   48   -0.04168   -0.04593   -0.04952   -0.03820   -0.04614
   49   -0.04288   -0.04694   -0.05126   -0.03994   -0.04755
   50   -0.04473   -0.04774   -0.05254   -0.04074   -0.04895
   51   -0.04575   -0.04899   -0.05421   -0.04198   -0.05078
   52   -0.04730   -0.04965   -0.05585   -0.04357   -0.05259
   53   -0.04876   -0.05164   -0.05698   -0.04473   -0.05478
   54   -0.05061   -0.05207   -0.05876   -0.04625   -0.05607
   55   -0.05188   -0.05329   -0.06057   -0.04809   -0.05676
   56   -0.05250   -0.05449   -0.06184   -0.04862   -0.05896
   57   -0.05377   -0.05605   -0.06320   -0.04977   -0.06002
   58   -0.05556   -0.05777   -0.06536   -0.05026   -0.06102
   59   -0.05667   -0.05988   -0.06658   -0.05169   -0.06321
   60   -0.05820   -0.06123   -0.06840   -0.05320   -0.06420
   61   -0.05944   -0.06259   -0.07000   -0.05407   -0.06643
   62   -0.06127   -0.06444   -0.07126   -0.05558   -0.06772
   63   -0.06274   -0.06587   -0.07358   -0.05680   -0.06919
   64   -0.06483   -0.06703   -0.07542   -0.05800   -0.07057
   65   -0.06592   -0.06866   -0.07693   -0.05844   -0.07186
   66   -0.06681   -0.06953   -0.07803   -0.05995   -0.07357
   67   -0.06816   -0.07133   -0.07981   -0.06147   -0.07542
   68   -0.06966   -0.07273   -0.08146   -0.06347   -0.07684
   69   -0.07123   -0.07488   -0.08299   -0.06341   -0.07872
   70   -0.07215   -0.07647   -0.08472   -0.06536   -0.08078
   71   -0.07303   -0.07770   -0.08640   -0.06624   -0.08294
   72   -0.07421   -0.07850   -0.08839   -0.06783   -0.08402
   73   -0.07535   -0.08057   -0.08926   -0.06897   -0.08569
   74   -0.07656   -0.08238   -0.09174   -0.06893   -0.08763
   75   -0.07789   -0.08365   -0.09286   -0.07041   -0.08924
   76   -0.07971   -0.08500   -0.09479   -0.07229   -0.09055
   77   -0.08157   -0.08680   -0.09601   -0.07405   -0.09215
   78   -0.08307   -0.08796   -0.09797   -0.07431   -0.09414
   79   -0.08413   -0.08975   -0.09988   -0.07571   -0.09522
   80   -0.08556   -0.09070   -0.10094   -0.07778   -0.09689
   81   -0.08698   -0.09275   -0.10226   -0.07916   -0.09903
   82   -0.08830   -0.09434   -0.10478   -0.08007   -0.09982
   83   -0.08966   -0.09589   -0.10634   -0.08125   -0.10144
   84   -0.09185   -0.09781   -0.10746   -0.08243   -0.10262
   85   -0.09309   -0.09969   -0.10947   -0.08397   -0.10436
   86   -0.09463   -0.10107   -0.11108   -0.08553   -0.10517
   87   -0.09587   -0.10281   -0.11264   -0.08555   -0.10721
   88   -0.09816   -0.10435   -0.11389   -0.08795   -0.10849
   89   -0.09976   -0.10589   -0.11581   -0.08898   -0.10985
   90   -0.10057   -0.10740   -0.11749   -0.08983   -0.11141
   91   -0.10208   -0.10865   -0.11921   -0.09235   -0.11274
   92   -0.10289   -0.11045   -0.12138   -0.09283   -0.11469
   93   -0.10408   -0.11243   -0.12330   -0.09394   -0.11654
   94   -0.10531   -0.11324   -0.12557   -0.09617   -0.11770
   95   -0.10767   -0.11559   -0.12709   -0.09610   -0.11965
   96   -0.10943   -0.11743   -0.12896   -0.09743   -0.12176
   97   -0.11127   -0.11859   -0.13102   -0.09876   -0.12397
   98   -0.11232   -0.11972   -0.13262   -0.09984   -0.12469
   99   -0.11362   -0.12150   -0.13447   -0.10144   -0.12664
  100   -0.11541   -0.12360   -0.13620   -0.10301   -0.12853
  101   -0.11659   -0.12533   -0.13830   -0.10353   -0.12966
  102   -0.11792   -0.12698   -0.13938   -0.10554   -0.13176
  103   -0.12039   -0.12840   -0.14129   -0.10757   -0.13343
  104   -0.12173   -0.13013   -0.14364   -0.10781   -0.13501
  105   -0.12296   -0.13130   -0.14467   -0.10808   -0.13689
  106   -0.12448   -0.13269   -0.14738   -0.10938   -0.13861
  107   -0.12655   -0.13439   -0.14877   -0.11107   -0.14001
  108   -0.12761   -0.13637   -0.15038   -0.11228   -0.14178
  109   -0.12896   -0.13801   -0.15219   -0.11320   -0.14315
  110   -0.13137   -0.13996   -0.15360   -0.11437   -0.14545
  111   -0.13220   -0.14164   -0.15541   -0.11672   -0.14702
  112   -0.13339   -0.14377   -0.15704   -0.11686   -0.14852
  113   -0.13459   -0.14527   -0.15902   -0.11942   -0.15016
  114   -0.13673   -0.14686   -0.16095   -0.11966   -0.15247
  115   -0.13779   -0.14857   -0.16298   -0.12052   -0.15359
  116   -0.13972   -0.14978   -0.16496   -0.12292   -0.15553
  117   -0.14103   -0.15107   -0.16672   -0.12342   -0.15760
  118   -0.14276   -0.15273   -0.16859   -0.12435   -0.15903
  119   -0.14354   -0.15460   -0.17029   -0.12651   -0.16146
  120   -0.14574   -0.15593   -0.17177   -0.12728   -0.16331
  121   -0.14706   -0.15736   -0.17395   -0.12865   -0.16445
  122   -0.14843   -0.15932   -0.17579   -0.12990   -0.16648
  123   -0.14968   -0.16023   -0.17742   -0.13093   -0.16810
  124   -0.15098   -0.16171   -0.17942   -0.13230   -0.16956
  125   -0.15277   -0.16235   -0.18157   -0.13372   -0.17153
  126   -0.15310   -0.16459   -0.18363   -0.13556   -0.17353
  127   -0.15499   -0.16572   -0.18490   -0.13626   -0.17523
  128   -0.15644   -0.16780   -0.18674   -0.13867   -0.17700
  129   -0.15753   -0.16936   -0.18837   -0.13911   -0.17864
  130   -0.15882   -0.17032   -0.19086   -0.14018   -0.17962
  131   -0.16025   -0.17158   -0.19162   -0.13994   -0.18168
  132   -0.16168   -0.17304   -0.19374   -0.14134   -0.18375
  133   -0.16425   -0.17498   -0.19510   -0.14373   -0.18560
  134   -0.16532   -0.17626   -0.19712   -0.14570   -0.18714
  135   -0.16593   -0.17837   -0.19844   -0.14634   -0.18896
  136   -0.16710   -0.17982   -0.20027   -0.14672   -0.19046
  137   -0.16909   -0.18165   -0.20205   -0.14767   -0.19232
  138   -0.17046   -0.18303   -0.20353   -0.14894   -0.19332
  139   -0.17206   -0.18435   -0.20529   -0.15035   -0.19473
  140   -0.17320   -0.18635   -0.20727   -0.15227   -0.19609
  141   -0.17467   -0.18819   -0.20920   -0.15352   -0.19766
  142   -0.17607   -0.19001   -0.21119   -0.15515   -0.20000
  143   -0.17751   -0.19146   -0.21257   -0.15601   -0.20156
  144   -0.17920   -0.19340   -0.21432   -0.15735   -0.20346
